perc1;perc2;succ;cost
14; 84; 0; 1.8762
3; 94; 12; 1.9943
40; 5; 40; 2.0455
71; 2; 0; 1.5087
27; 51; 15; 1.9082
53; 17; 0; 1.713
71; 3; 0; 1.5006
3; 95; 4; 1.9862
14; 85; 0; 1.8681
40; 6; 40; 2.0374
71; 4; 0; 1.4925
14; 86; 0; 1.86
3; 96; 3; 1.9781
27; 52; 10; 1.9001
53; 18; 0; 1.7049
71; 5; 0; 1.4844
40; 7; 40; 2.0293
71; 6; 0; 1.4763
15; 50; 40; 2.1335
3; 97; 1; 1.97
71; 7; 0; 1.4682
27; 53; 3; 1.892
53; 19; 0; 1.6968
71; 8; 0; 1.4601
15; 51; 40; 2.1254
40; 8; 40; 2.0212
4; 72; 40; 2.1544
71; 9; 0; 1.452
27; 54; 6; 1.8839
53; 20; 0; 1.6887
71; 10; 0; 1.4439
15; 52; 40; 2.1173
4; 73; 40; 2.1463
40; 9; 40; 2.0131
71; 11; 0; 1.4358
15; 53; 40; 2.1092
27; 55; 2; 1.8758
72; 0; 0; 1.5068
53; 21; 0; 1.6806
40; 10; 40; 2.005
4; 74; 40; 2.1382
15; 54; 40; 2.1011
72; 1; 0; 1.4987
4; 75; 40; 2.1301
27; 56; 3; 1.8677
53; 22; 0; 1.6725
72; 2; 0; 1.4906
40; 11; 40; 1.9969
15; 55; 40; 2.093
4; 76; 40; 2.122
72; 3; 0; 1.4825
27; 57; 0; 1.8596
15; 56; 40; 2.0849
53; 23; 0; 1.6644
72; 4; 0; 1.4744
40; 12; 40; 1.9888
4; 77; 40; 2.1139
72; 5; 0; 1.4663
53; 24; 0; 1.6563
72; 6; 0; 1.4582
27; 58; 0; 1.8515
15; 57; 40; 2.0768
72; 7; 0; 1.4501
4; 78; 39; 2.1058
40; 13; 39; 1.9807
53; 25; 0; 1.6482
72; 8; 0; 1.442
27; 59; 0; 1.8434
15; 58; 40; 2.0687
73; 0; 0; 1.4887
4; 79; 39; 2.0977
73; 1; 0; 1.4806
40; 14; 40; 1.9726
53; 26; 0; 1.6401
27; 60; 0; 1.8353
15; 59; 40; 2.0606
73; 2; 0; 1.4725
53; 27; 0; 1.632
4; 80; 40; 2.0896
73; 3; 0; 1.4644
40; 15; 40; 1.9645
15; 60; 40; 2.0525
27; 61; 0; 1.8272
73; 4; 0; 1.4563
4; 81; 40; 2.0815
53; 28; 0; 1.6239
73; 5; 0; 1.4482
40; 16; 40; 1.9564
15; 61; 40; 2.0444
27; 62; 0; 1.8191
74; 0; 0; 1.4706
53; 29; 0; 1.6158
4; 82; 40; 2.0734
74; 1; 0; 1.4625
15; 62; 40; 2.0363
74; 2; 0; 1.4544
27; 63; 0; 1.811
40; 17; 40; 1.9483
53; 30; 0; 1.6077
4; 83; 39; 2.0653
75; 0; 0; 1.4525
15; 63; 39; 2.0282
27; 64; 0; 1.8029
40; 18; 40; 1.9402
4; 84; 37; 2.0572
53; 31; 0; 1.5996
15; 64; 37; 2.0201
4; 85; 31; 2.0491
27; 65; 0; 1.7948
40; 19; 40; 1.9321
53; 32; 0; 1.5915
15; 65; 37; 2.012
4; 86; 32; 2.041
27; 66; 0; 1.7867
40; 20; 39; 1.924
53; 33; 0; 1.5834
15; 66; 36; 2.0039
4; 87; 26; 2.0329
27; 67; 0; 1.7786
53; 34; 0; 1.5753
40; 21; 40; 1.9159
15; 67; 28; 1.9958
27; 68; 0; 1.7705
4; 88; 22; 2.0248
40; 22; 38; 1.9078
53; 35; 0; 1.5672
15; 68; 29; 1.9877
27; 69; 0; 1.7624
4; 89; 20; 2.0167
53; 36; 0; 1.5591
40; 23; 36; 1.8997
27; 70; 0; 1.7543
15; 69; 32; 1.9796
4; 90; 24; 2.0086
53; 37; 0; 1.551
40; 24; 35; 1.8916
4; 91; 15; 2.0005
15; 70; 24; 1.9715
27; 71; 0; 1.7462
53; 38; 0; 1.5429
15; 71; 15; 1.9634
4; 92; 6; 1.9924
27; 72; 0; 1.7381
40; 25; 31; 1.8835
53; 39; 0; 1.5348
15; 72; 7; 1.9553
27; 73; 0; 1.73
4; 93; 8; 1.9843
40; 26; 24; 1.8754
53; 40; 0; 1.5267
4; 94; 2; 1.9762
15; 73; 6; 1.9472
28; 24; 40; 2.1088
4; 95; 3; 1.9681
40; 27; 21; 1.8673
53; 41; 0; 1.5186
15; 74; 6; 1.9391
28; 25; 40; 2.1007
4; 96; 0; 1.96
53; 42; 0; 1.5105
40; 28; 18; 1.8592
28; 26; 40; 2.0926
15; 75; 2; 1.931
5; 70; 40; 2.1525
53; 43; 0; 1.5024
40; 29; 15; 1.8511
15; 76; 0; 1.9229
28; 27; 40; 2.0845
5; 71; 40; 2.1444
53; 44; 0; 1.4943
40; 30; 8; 1.843
15; 77; 2; 1.9148
28; 28; 40; 2.0764
53; 45; 0; 1.4862
5; 72; 40; 2.1363
15; 78; 0; 1.9067
40; 31; 6; 1.8349
28; 29; 40; 2.0683
15; 79; 0; 1.8986
53; 46; 0; 1.4781
40; 32; 7; 1.8268
28; 30; 40; 2.0602
5; 73; 40; 2.1282
15; 80; 0; 1.8905
40; 33; 3; 1.8187
53; 47; 0; 1.47
5; 74; 40; 2.1201
28; 31; 40; 2.0521
15; 81; 0; 1.8824
40; 34; 1; 1.8106
5; 75; 40; 2.112
15; 82; 0; 1.8743
54; 0; 16; 1.8326
28; 32; 40; 2.044
5; 76; 40; 2.1039
40; 35; 1; 1.8025
15; 83; 0; 1.8662
5; 77; 40; 2.0958
40; 36; 0; 1.7944
54; 1; 15; 1.8245
28; 33; 40; 2.0359
15; 84; 0; 1.8581
5; 78; 40; 2.0877
40; 37; 0; 1.7863
15; 85; 0; 1.85
54; 2; 16; 1.8164
28; 34; 40; 2.0278
5; 79; 39; 2.0796
16; 48; 40; 2.1316
40; 38; 0; 1.7782
28; 35; 40; 2.0197
5; 80; 39; 2.0715
54; 3; 13; 1.8083
16; 49; 40; 2.1235
40; 39; 0; 1.7701
5; 81; 36; 2.0634
28; 36; 40; 2.0116
54; 4; 10; 1.8002
16; 50; 40; 2.1154
5; 82; 39; 2.0553
28; 37; 40; 2.0035
40; 40; 0; 1.762
54; 5; 3; 1.7921
16; 51; 40; 2.1073
5; 83; 36; 2.0472
28; 38; 40; 1.9954
40; 41; 0; 1.7539
54; 6; 8; 1.784
5; 84; 35; 2.0391
16; 52; 40; 2.0992
28; 39; 39; 1.9873
5; 85; 27; 2.031
40; 42; 0; 1.7458
16; 53; 40; 2.0911
28; 40; 40; 1.9792
54; 7; 4; 1.7759
5; 86; 30; 2.0229
16; 54; 40; 2.083
28; 41; 40; 1.9711
40; 43; 0; 1.7377
5; 87; 22; 2.0148
54; 8; 4; 1.7678
16; 55; 40; 2.0749
28; 42; 38; 1.963
5; 88; 19; 2.0067
40; 44; 0; 1.7296
16; 56; 40; 2.0668
28; 43; 36; 1.9549
54; 9; 0; 1.7597
5; 89; 13; 1.9986
16; 57; 40; 2.0587
28; 44; 36; 1.9468
40; 45; 0; 1.7215
5; 90; 11; 1.9905
16; 58; 40; 2.0506
54; 10; 0; 1.7516
28; 45; 33; 1.9387
5; 91; 7; 1.9824
40; 46; 0; 1.7134
16; 59; 40; 2.0425
5; 92; 4; 1.9743
54; 11; 1; 1.7435
28; 46; 28; 1.9306
16; 60; 40; 2.0344
40; 47; 0; 1.7053
5; 93; 1; 1.9662
28; 47; 24; 1.9225
16; 61; 40; 2.0263
54; 12; 0; 1.7354
5; 94; 0; 1.9581
28; 48; 19; 1.9144
40; 48; 0; 1.6972
16; 62; 39; 2.0182
5; 95; 0; 1.95
28; 49; 16; 1.9063
54; 13; 0; 1.7273
16; 63; 37; 2.0101
40; 49; 0; 1.6891
6; 68; 40; 2.1506
28; 50; 10; 1.8982
16; 64; 39; 2.002
40; 50; 0; 1.681
54; 14; 0; 1.7192
28; 51; 8; 1.8901
6; 69; 40; 2.1425
16; 65; 34; 1.9939
40; 51; 0; 1.6729
28; 52; 2; 1.882
54; 15; 0; 1.7111
16; 66; 33; 1.9858
40; 52; 0; 1.6648
6; 70; 40; 2.1344
28; 53; 6; 1.8739
16; 67; 29; 1.9777
40; 53; 0; 1.6567
54; 16; 0; 1.703
6; 71; 40; 2.1263
28; 54; 0; 1.8658
16; 68; 23; 1.9696
40; 54; 0; 1.6486
28; 55; 2; 1.8577
16; 69; 18; 1.9615
40; 55; 0; 1.6405
54; 17; 0; 1.6949
6; 72; 40; 2.1182
16; 70; 11; 1.9534
40; 56; 0; 1.6324
28; 56; 1; 1.8496
6; 73; 40; 2.1101
54; 18; 0; 1.6868
40; 57; 0; 1.6243
16; 71; 12; 1.9453
28; 57; 0; 1.8415
40; 58; 0; 1.6162
6; 74; 40; 2.102
28; 58; 0; 1.8334
16; 72; 6; 1.9372
54; 19; 0; 1.6787
40; 59; 0; 1.6081
6; 75; 40; 2.0939
16; 73; 6; 1.9291
28; 59; 0; 1.8253
54; 20; 0; 1.6706
40; 60; 0; 1.6
6; 76; 40; 2.0858
16; 74; 1; 1.921
28; 60; 0; 1.8172
54; 21; 0; 1.6625
6; 77; 40; 2.0777
41; 0; 40; 2.0679
16; 75; 2; 1.9129
28; 61; 0; 1.8091
54; 22; 0; 1.6544
16; 76; 3; 1.9048
6; 78; 40; 2.0696
41; 1; 40; 2.0598
28; 62; 0; 1.801
54; 23; 0; 1.6463
16; 77; 0; 1.8967
6; 79; 39; 2.0615
41; 2; 40; 2.0517
28; 63; 0; 1.7929
6; 80; 38; 2.0534
28; 64; 0; 1.7848
54; 24; 0; 1.6382
16; 78; 0; 1.8886
41; 3; 40; 2.0436
6; 81; 37; 2.0453
28; 65; 0; 1.7767
41; 4; 40; 2.0355
16; 79; 0; 1.8805
54; 25; 0; 1.6301
6; 82; 35; 2.0372
28; 66; 0; 1.7686
41; 5; 40; 2.0274
6; 83; 33; 2.0291
16; 80; 0; 1.8724
28; 67; 0; 1.7605
54; 26; 0; 1.622
41; 6; 39; 2.0193
6; 84; 30; 2.021
28; 68; 0; 1.7524
16; 81; 0; 1.8643
41; 7; 40; 2.0112
54; 27; 0; 1.6139
6; 85; 27; 2.0129
28; 69; 0; 1.7443
16; 82; 0; 1.8562
54; 28; 0; 1.6058
6; 86; 17; 2.0048
28; 70; 0; 1.7362
41; 8; 40; 2.0031
6; 87; 14; 1.9967
54; 29; 0; 1.5977
28; 71; 0; 1.7281
16; 83; 0; 1.8481
41; 9; 40; 1.995
6; 88; 7; 1.9886
54; 30; 0; 1.5896
28; 72; 0; 1.72
16; 84; 0; 1.84
6; 89; 7; 1.9805
29; 22; 40; 2.1069
41; 10; 40; 1.9869
54; 31; 0; 1.5815
6; 90; 2; 1.9724
29; 23; 40; 2.0988
41; 11; 40; 1.9788
17; 46; 40; 2.1297
6; 91; 1; 1.9643
54; 32; 0; 1.5734
29; 24; 40; 2.0907
41; 12; 40; 1.9707
6; 92; 1; 1.9562
17; 47; 40; 2.1216
29; 25; 40; 2.0826
41; 13; 40; 1.9626
54; 33; 0; 1.5653
6; 93; 0; 1.9481
17; 48; 40; 2.1135
29; 26; 40; 2.0745
41; 14; 40; 1.9545
6; 94; 1; 1.94
54; 34; 0; 1.5572
29; 27; 40; 2.0664
41; 15; 40; 1.9464
7; 66; 40; 2.1487
17; 49; 40; 2.1054
54; 35; 0; 1.5491
29; 28; 40; 2.0583
7; 67; 40; 2.1406
41; 16; 40; 1.9383
17; 50; 40; 2.0973
54; 36; 0; 1.541
7; 68; 40; 2.1325
29; 29; 40; 2.0502
41; 17; 39; 1.9302
17; 51; 40; 2.0892
54; 37; 0; 1.5329
7; 69; 40; 2.1244
29; 30; 40; 2.0421
17; 52; 40; 2.0811
54; 38; 0; 1.5248
7; 70; 40; 2.1163
41; 18; 39; 1.9221
17; 53; 40; 2.073
54; 39; 0; 1.5167
29; 31; 40; 2.034
7; 71; 40; 2.1082
54; 40; 0; 1.5086
17; 54; 40; 2.0649
41; 19; 39; 1.914
7; 72; 40; 2.1001
29; 32; 40; 2.0259
54; 41; 0; 1.5005
41; 20; 39; 1.9059
17; 55; 40; 2.0568
7; 73; 40; 2.092
29; 33; 40; 2.0178
7; 74; 40; 2.0839
41; 21; 38; 1.8978
54; 42; 0; 1.4924
29; 34; 40; 2.0097
17; 56; 40; 2.0487
7; 75; 40; 2.0758
41; 22; 35; 1.8897
54; 43; 0; 1.4843
29; 35; 40; 2.0016
7; 76; 39; 2.0677
17; 57; 40; 2.0406
41; 23; 32; 1.8816
29; 36; 40; 1.9935
54; 44; 0; 1.4762
7; 77; 39; 2.0596
41; 24; 25; 1.8735
17; 58; 40; 2.0325
29; 37; 40; 1.9854
54; 45; 0; 1.4681
7; 78; 40; 2.0515
41; 25; 22; 1.8654
17; 59; 40; 2.0244
29; 38; 40; 1.9773
54; 46; 0; 1.46
41; 26; 23; 1.8573
17; 60; 39; 2.0163
7; 79; 34; 2.0434
29; 39; 39; 1.9692
55; 0; 12; 1.8145
7; 80; 35; 2.0353
17; 61; 40; 2.0082
29; 40; 40; 1.9611
41; 27; 17; 1.8492
7; 81; 33; 2.0272
17; 62; 36; 2.0001
29; 41; 40; 1.953
55; 1; 12; 1.8064
7; 82; 26; 2.0191
41; 28; 9; 1.8411
17; 63; 34; 1.992
29; 42; 37; 1.9449
55; 2; 9; 1.7983
7; 83; 23; 2.011
41; 29; 4; 1.833
17; 64; 35; 1.9839
29; 43; 35; 1.9368
55; 3; 6; 1.7902
17; 65; 23; 1.9758
41; 30; 4; 1.8249
7; 84; 18; 2.0029
55; 4; 8; 1.7821
29; 44; 36; 1.9287
17; 66; 24; 1.9677
41; 31; 2; 1.8168
7; 85; 9; 1.9948
55; 5; 0; 1.774
29; 45; 24; 1.9206
41; 32; 1; 1.8087
17; 67; 20; 1.9596
7; 86; 17; 1.9867
55; 6; 0; 1.7659
41; 33; 0; 1.8006
7; 87; 10; 1.9786
29; 46; 16; 1.9125
55; 7; 1; 1.7578
17; 68; 15; 1.9515
41; 34; 0; 1.7925
7; 88; 6; 1.9705
55; 8; 0; 1.7497
29; 47; 17; 1.9044
17; 69; 13; 1.9434
7; 89; 3; 1.9624
55; 9; 0; 1.7416
29; 48; 14; 1.8963
41; 35; 0; 1.7844
7; 90; 0; 1.9543
17; 70; 5; 1.9353
