perc1;perc2;succ;cost
26; 66; 200; 1.82
12; 64; 200; 2.12
1; 98; 200; 2
31; 56; 200; 1.82
17; 48; 200; 2.18
67; 11; 0; 1.55
36; 46; 199; 1.82
21; 77; 197; 1.81
41; 38; 200; 1.8
61; 31; 0; 1.47
56; 28; 1; 1.6
7; 81; 200; 2.05
12; 65; 200; 2.11
26; 67; 200; 1.81
1; 99; 200; 1.99
17; 49; 200; 2.17
46; 35; 189; 1.73
31; 57; 200; 1.81
67; 12; 0; 1.54
36; 47; 200; 1.81
12; 66; 200; 2.1
7; 82; 200; 2.04
21; 78; 197; 1.8
41; 39; 198; 1.79
26; 68; 200; 1.8
51; 31; 80; 1.67
2; 76; 200; 2.2
61; 32; 0; 1.46
17; 50; 200; 2.16
67; 13; 0; 1.53
12; 67; 200; 2.09
56; 29; 2; 1.59
31; 58; 197; 1.8
7; 83; 200; 2.03
2; 77; 200; 2.19
46; 36; 180; 1.72
36; 48; 200; 1.8
21; 79; 188; 1.79
26; 69; 199; 1.79
17; 51; 200; 2.15
41; 40; 199; 1.78
67; 14; 0; 1.52
12; 68; 200; 2.08
61; 33; 0; 1.45
7; 84; 200; 2.02
2; 78; 200; 2.18
31; 59; 200; 1.79
51; 32; 66; 1.66
22; 36; 200; 2.2
17; 52; 200; 2.14
36; 49; 200; 1.79
67; 15; 0; 1.51
46; 37; 169; 1.71
12; 69; 200; 2.07
41; 41; 198; 1.77
2; 79; 200; 2.17
26; 70; 195; 1.78
56; 30; 0; 1.58
7; 85; 200; 2.01
22; 37; 200; 2.19
31; 60; 199; 1.78
17; 53; 200; 2.13
61; 34; 0; 1.44
2; 80; 200; 2.16
12; 70; 200; 2.06
67; 16; 0; 1.5
36; 50; 198; 1.78
7; 86; 200; 2
41; 42; 198; 1.76
22; 38; 200; 2.18
26; 71; 187; 1.77
17; 54; 200; 2.12
51; 33; 45; 1.65
31; 61; 195; 1.77
46; 38; 146; 1.7
2; 81; 200; 2.15
12; 71; 200; 2.05
7; 87; 200; 1.99
56; 31; 0; 1.57
22; 39; 200; 2.17
67; 17; 0; 1.49
17; 55; 200; 2.11
61; 35; 0; 1.43
26; 72; 178; 1.76
36; 51; 197; 1.77
2; 82; 200; 2.14
41; 43; 195; 1.75
12; 72; 200; 2.04
7; 88; 200; 1.98
31; 62; 193; 1.76
22; 40; 200; 2.16
17; 56; 200; 2.1
67; 18; 0; 1.48
46; 39; 135; 1.69
2; 83; 200; 2.13
51; 34; 31; 1.64
12; 73; 200; 2.03
36; 52; 197; 1.76
7; 89; 200; 1.97
26; 73; 170; 1.75
17; 57; 200; 2.09
56; 32; 1; 1.56
22; 41; 200; 2.15
61; 36; 0; 1.42
41; 44; 187; 1.74
31; 63; 180; 1.75
2; 84; 200; 2.12
67; 19; 0; 1.47
12; 74; 200; 2.02
17; 58; 200; 2.08
7; 90; 200; 1.96
22; 42; 200; 2.14
2; 85; 200; 2.11
36; 53; 193; 1.75
26; 74; 138; 1.74
46; 40; 114; 1.68
12; 75; 200; 2.01
17; 59; 200; 2.07
7; 91; 200; 1.95
61; 37; 0; 1.41
31; 64; 167; 1.74
41; 45; 189; 1.73
67; 20; 0; 1.46
27; 26; 200; 2.2
22; 43; 200; 2.13
56; 33; 0; 1.55
2; 86; 200; 2.1
51; 35; 23; 1.63
12; 76; 200; 2
36; 54; 188; 1.74
17; 60; 200; 2.06
7; 92; 200; 1.94
27; 27; 200; 2.19
22; 44; 200; 2.12
67; 21; 0; 1.45
2; 87; 200; 2.09
31; 65; 141; 1.73
41; 46; 178; 1.72
61; 38; 0; 1.4
17; 61; 200; 2.05
46; 41; 87; 1.67
12; 77; 200; 1.99
7; 93; 200; 1.93
27; 28; 200; 2.18
22; 45; 200; 2.11
2; 88; 200; 2.08
36; 55; 173; 1.73
56; 34; 0; 1.54
51; 36; 12; 1.62
17; 62; 200; 2.04
67; 22; 0; 1.44
27; 29; 200; 2.17
8; 64; 200; 2.2
12; 78; 200; 1.98
2; 89; 200; 2.07
22; 46; 200; 2.1
31; 66; 125; 1.72
41; 47; 150; 1.71
61; 39; 0; 1.39
68; 0; 0; 1.64
17; 63; 200; 2.03
27; 30; 200; 2.16
8; 65; 200; 2.19
46; 42; 66; 1.66
12; 79; 200; 1.97
2; 90; 200; 2.06
22; 47; 200; 2.09
36; 56; 154; 1.72
62; 0; 18; 1.76
68; 1; 0; 1.63
12; 80; 200; 1.96
56; 35; 0; 1.53
27; 31; 200; 2.15
17; 64; 200; 2.02
8; 66; 200; 2.18
51; 37; 6; 1.61
31; 67; 99; 1.71
2; 91; 200; 2.05
41; 48; 138; 1.7
22; 48; 200; 2.08
8; 67; 200; 2.17
27; 32; 200; 2.14
68; 2; 0; 1.62
46; 43; 46; 1.65
12; 81; 200; 1.95
62; 1; 10; 1.75
17; 65; 200; 2.01
36; 57; 142; 1.71
2; 92; 200; 2.04
22; 49; 200; 2.07
8; 68; 200; 2.16
27; 33; 200; 2.13
31; 68; 81; 1.7
56; 36; 0; 1.52
12; 82; 200; 1.94
68; 3; 0; 1.61
17; 66; 200; 2
51; 38; 3; 1.6
2; 93; 200; 2.03
62; 2; 9; 1.74
22; 50; 200; 2.06
41; 49; 102; 1.69
27; 34; 200; 2.12
8; 69; 200; 2.15
17; 67; 200; 1.99
68; 4; 0; 1.6
12; 83; 200; 1.93
36; 58; 119; 1.7
46; 44; 34; 1.64
2; 94; 200; 2.02
62; 3; 11; 1.73
22; 51; 200; 2.05
31; 69; 41; 1.69
27; 35; 200; 2.11
8; 70; 200; 2.14
17; 68; 200; 1.98
68; 5; 0; 1.59
2; 95; 200; 2.01
56; 37; 0; 1.51
12; 84; 200; 1.92
51; 39; 1; 1.59
41; 50; 88; 1.68
22; 52; 200; 2.04
62; 4; 11; 1.72
8; 71; 200; 2.13
32; 16; 200; 2.2
27; 36; 200; 2.1
17; 69; 200; 1.97
36; 59; 79; 1.69
68; 6; 0; 1.58
2; 96; 200; 2
12; 85; 200; 1.91
46; 45; 13; 1.63
22; 53; 200; 2.03
32; 17; 200; 2.19
27; 37; 200; 2.09
8; 72; 200; 2.12
62; 5; 8; 1.71
17; 70; 200; 1.96
