perc1;perc2;succ;cost
59; 26; 39; 1.56
67; 27; 10; 1.39
53; 26; 40; 1.68
74; 1; 0; 1.51
45; 26; 40; 1.84
57; 26; 38; 1.6
69; 28; 5; 1.34
76; 4; 0; 1.44
71; 29; 0; 1.29
51; 27; 40; 1.71
55; 27; 40; 1.63
65; 27; 22; 1.43
61; 27; 34; 1.51
49; 27; 40; 1.75
47; 27; 40; 1.79
63; 27; 32; 1.47
67; 28; 8; 1.38
74; 2; 0; 1.5
59; 27; 37; 1.55
53; 27; 38; 1.67
45; 27; 40; 1.83
69; 29; 4; 1.33
57; 27; 39; 1.59
76; 5; 0; 1.43
72; 0; 1; 1.56
55; 28; 39; 1.62
51; 28; 40; 1.7
63; 28; 30; 1.46
65; 28; 18; 1.42
47; 28; 40; 1.78
67; 29; 10; 1.37
74; 3; 0; 1.49
61; 28; 36; 1.5
49; 28; 40; 1.74
59; 28; 36; 1.54
53; 28; 40; 1.66
45; 28; 40; 1.82
69; 30; 1; 1.32
76; 6; 0; 1.42
57; 28; 39; 1.58
72; 1; 1; 1.55
55; 29; 39; 1.61
74; 4; 0; 1.48
51; 29; 40; 1.69
63; 29; 24; 1.45
67; 30; 9; 1.36
65; 29; 22; 1.41
47; 29; 39; 1.77
61; 29; 37; 1.49
49; 29; 40; 1.73
59; 29; 34; 1.53
53; 29; 39; 1.65
45; 29; 40; 1.81
76; 7; 0; 1.41
69; 31; 1; 1.31
57; 29; 38; 1.57
72; 2; 0; 1.54
74; 5; 1; 1.47
55; 30; 39; 1.6
65; 30; 15; 1.4
63; 30; 31; 1.44
51; 30; 40; 1.68
67; 31; 6; 1.35
61; 30; 37; 1.48
47; 30; 40; 1.76
49; 30; 40; 1.72
59; 30; 39; 1.52
53; 30; 39; 1.64
76; 8; 0; 1.4
70; 0; 4; 1.6
45; 30; 40; 1.8
72; 3; 2; 1.53
57; 30; 39; 1.56
74; 6; 0; 1.46
55; 31; 40; 1.59
65; 31; 15; 1.39
63; 31; 29; 1.43
67; 32; 9; 1.34
47; 31; 40; 1.75
51; 31; 39; 1.67
61; 31; 35; 1.47
49; 31; 40; 1.71
59; 31; 37; 1.51
76; 9; 0; 1.39
53; 31; 38; 1.63
70; 1; 3; 1.59
45; 31; 40; 1.79
72; 4; 0; 1.52
57; 31; 38; 1.55
74; 7; 0; 1.45
63; 32; 24; 1.42
55; 32; 40; 1.58
65; 32; 17; 1.38
67; 33; 12; 1.33
51; 32; 39; 1.66
61; 32; 34; 1.46
47; 32; 40; 1.74
59; 32; 38; 1.5
49; 32; 40; 1.7
76; 10; 0; 1.38
53; 32; 40; 1.62
70; 2; 6; 1.58
45; 32; 40; 1.78
72; 5; 2; 1.51
74; 8; 0; 1.44
57; 32; 36; 1.54
68; 0; 5; 1.64
55; 33; 39; 1.57
63; 33; 30; 1.41
65; 33; 17; 1.37
76; 11; 0; 1.37
51; 33; 40; 1.65
47; 33; 40; 1.73
61; 33; 33; 1.45
49; 33; 40; 1.69
59; 33; 38; 1.49
70; 3; 3; 1.57
53; 33; 40; 1.61
72; 6; 1; 1.5
45; 33; 40; 1.77
74; 9; 0; 1.43
57; 33; 40; 1.53
68; 1; 7; 1.63
63; 34; 30; 1.4
76; 12; 0; 1.36
55; 34; 39; 1.56
65; 34; 17; 1.36
51; 34; 39; 1.64
47; 34; 40; 1.72
61; 34; 33; 1.44
59; 34; 38; 1.48
49; 34; 40; 1.68
70; 4; 3; 1.56
53; 34; 40; 1.6
72; 7; 0; 1.49
45; 34; 40; 1.76
74; 10; 0; 1.42
57; 34; 39; 1.52
68; 2; 9; 1.62
63; 35; 24; 1.39
76; 13; 0; 1.35
55; 35; 39; 1.55
65; 35; 21; 1.35
51; 35; 40; 1.63
47; 35; 40; 1.71
61; 35; 35; 1.43
49; 35; 40; 1.67
59; 35; 36; 1.47
70; 5; 4; 1.55
53; 35; 38; 1.59
72; 8; 1; 1.48
74; 11; 0; 1.41
45; 35; 40; 1.75
57; 35; 38; 1.51
68; 3; 8; 1.61
76; 14; 0; 1.34
63; 36; 25; 1.38
55; 36; 40; 1.54
66; 0; 21; 1.68
47; 36; 38; 1.7
51; 36; 39; 1.62
59; 36; 38; 1.46
49; 36; 40; 1.66
61; 36; 35; 1.42
70; 6; 2; 1.54
53; 36; 40; 1.58
72; 9; 2; 1.47
74; 12; 0; 1.4
45; 36; 40; 1.74
76; 15; 0; 1.33
57; 36; 38; 1.5
68; 4; 8; 1.6
63; 37; 28; 1.37
55; 37; 39; 1.53
66; 1; 18; 1.67
47; 37; 40; 1.69
70; 7; 5; 1.53
51; 37; 40; 1.61
61; 37; 36; 1.41
59; 37; 35; 1.45
49; 37; 40; 1.65
72; 10; 0; 1.46
74; 13; 0; 1.39
53; 37; 40; 1.57
76; 16; 0; 1.32
45; 37; 40; 1.73
57; 37; 38; 1.49
68; 5; 16; 1.59
55; 38; 40; 1.52
64; 0; 26; 1.72
66; 2; 19; 1.66
70; 8; 5; 1.52
47; 38; 40; 1.68
51; 38; 40; 1.6
74; 14; 0; 1.38
59; 38; 39; 1.44
61; 38; 34; 1.4
72; 11; 0; 1.45
49; 38; 40; 1.64
76; 17; 0; 1.31
53; 38; 40; 1.56
45; 38; 40; 1.72
57; 38; 38; 1.48
68; 6; 4; 1.58
64; 1; 27; 1.71
55; 39; 40; 1.51
66; 3; 20; 1.65
70; 9; 2; 1.51
47; 39; 40; 1.67
74; 15; 0; 1.37
51; 39; 40; 1.59
72; 12; 1; 1.44
59; 39; 37; 1.43
49; 39; 40; 1.63
61; 39; 34; 1.39
76; 18; 0; 1.3
53; 39; 39; 1.55
45; 39; 40; 1.71
57; 39; 39; 1.47
68; 7; 9; 1.57
64; 2; 27; 1.7
55; 40; 39; 1.5
70; 10; 3; 1.5
74; 16; 0; 1.36
66; 4; 11; 1.64
47; 40; 40; 1.66
72; 13; 0; 1.43
51; 40; 40; 1.58
76; 19; 0; 1.29
49; 40; 40; 1.62
59; 40; 36; 1.42
62; 0; 34; 1.76
53; 40; 40; 1.54
68; 8; 10; 1.56
45; 40; 40; 1.7
57; 40; 40; 1.46
64; 3; 30; 1.69
70; 11; 6; 1.49
55; 41; 38; 1.49
74; 17; 0; 1.35
72; 14; 0; 1.42
76; 20; 0; 1.28
66; 5; 18; 1.63
47; 41; 40; 1.65
49; 41; 40; 1.61
51; 41; 39; 1.57
59; 41; 36; 1.41
62; 1; 32; 1.75
53; 41; 40; 1.53
45; 41; 40; 1.69
68; 9; 11; 1.55
55; 42; 38; 1.48
74; 18; 0; 1.34
57; 41; 39; 1.45
70; 12; 2; 1.48
64; 4; 30; 1.68
76; 21; 0; 1.27
72; 15; 0; 1.41
66; 6; 22; 1.62
49; 42; 40; 1.6
51; 42; 40; 1.56
47; 42; 40; 1.64
60; 0; 35; 1.8
62; 2; 32; 1.74
53; 42; 40; 1.52
68; 10; 5; 1.54
45; 42; 40; 1.68
70; 13; 0; 1.47
74; 19; 0; 1.33
76; 22; 0; 1.26
55; 43; 39; 1.47
57; 42; 36; 1.44
64; 5; 23; 1.67
72; 16; 1; 1.4
66; 7; 18; 1.61
49; 43; 40; 1.59
51; 43; 39; 1.55
47; 43; 40; 1.63
60; 1; 36; 1.79
62; 3; 35; 1.73
53; 43; 40; 1.51
68; 11; 2; 1.53
76; 23; 0; 1.25
70; 14; 2; 1.46
74; 20; 0; 1.32
45; 43; 40; 1.67
55; 44; 39; 1.46
72; 17; 0; 1.39
57; 43; 38; 1.43
64; 6; 23; 1.66
66; 8; 17; 1.6
51; 44; 40; 1.54
49; 44; 40; 1.58
47; 44; 40; 1.62
60; 2; 38; 1.78
62; 4; 34; 1.72
53; 44; 40; 1.5
76; 24; 0; 1.24
68; 12; 7; 1.52
70; 15; 2; 1.45
74; 21; 0; 1.31
45; 44; 40; 1.66
72; 18; 0; 1.38
55; 45; 39; 1.45
64; 7; 29; 1.65
58; 0; 37; 1.84
49; 45; 40; 1.57
66; 9; 16; 1.59
51; 45; 40; 1.53
47; 45; 40; 1.61
60; 3; 36; 1.77
53; 45; 40; 1.49
62; 5; 34; 1.71
68; 13; 9; 1.51
74; 22; 0; 1.3
70; 16; 2; 1.44
72; 19; 0; 1.37
45; 45; 40; 1.65
56; 0; 39; 1.88
64; 8; 23; 1.64
58; 1; 39; 1.83
66; 10; 14; 1.58
49; 46; 40; 1.56
51; 46; 40; 1.52
47; 46; 40; 1.6
60; 4; 37; 1.76
62; 6; 33; 1.7
53; 46; 39; 1.48
74; 23; 0; 1.29
68; 14; 9; 1.5
70; 17; 4; 1.43
72; 20; 0; 1.36
45; 46; 40; 1.64
56; 1; 39; 1.87
66; 11; 16; 1.57
64; 9; 32; 1.63
49; 47; 40; 1.55
58; 2; 39; 1.82
51; 47; 40; 1.51
47; 47; 39; 1.59
60; 5; 37; 1.75
74; 24; 0; 1.28
53; 47; 40; 1.47
62; 7; 31; 1.69
68; 15; 6; 1.49
70; 18; 4; 1.42
72; 21; 0; 1.35
45; 47; 40; 1.63
56; 2; 37; 1.86
66; 12; 19; 1.56
64; 10; 29; 1.62
49; 48; 40; 1.54
58; 3; 37; 1.81
51; 48; 40; 1.5
74; 25; 0; 1.27
47; 48; 40; 1.58
60; 6; 35; 1.74
62; 8; 31; 1.68
68; 16; 8; 1.48
54; 0; 40; 1.92
70; 19; 2; 1.41
72; 22; 0; 1.34
45; 48; 40; 1.62
56; 3; 39; 1.85
64; 11; 25; 1.61
66; 13; 23; 1.55
51; 49; 40; 1.49
58; 4; 36; 1.8
49; 49; 40; 1.53
74; 26; 0; 1.26
47; 49; 40; 1.57
60; 7; 38; 1.73
62; 9; 33; 1.67
68; 17; 3; 1.47
72; 23; 0; 1.33
54; 1; 38; 1.91
70; 20; 2; 1.4
45; 49; 40; 1.61
56; 4; 39; 1.84
66; 14; 12; 1.54
64; 12; 25; 1.6
58; 5; 40; 1.79
52; 0; 40; 1.96
49; 50; 40; 1.52
47; 50; 39; 1.56
60; 8; 38; 1.72
72; 24; 0; 1.32
70; 21; 0; 1.39
68; 18; 5; 1.46
62; 10; 31; 1.66
54; 2; 39; 1.9
45; 50; 40; 1.6
56; 5; 39; 1.83
66; 15; 16; 1.53
64; 13; 25; 1.59
58; 6; 38; 1.78
52; 1; 39; 1.95
49; 51; 40; 1.51
47; 51; 40; 1.55
72; 25; 0; 1.31
70; 22; 3; 1.38
60; 9; 37; 1.71
68; 19; 7; 1.45
62; 11; 34; 1.65
54; 3; 40; 1.89
45; 51; 40; 1.59
56; 6; 37; 1.82
66; 16; 18; 1.52
58; 7; 38; 1.77
64; 14; 26; 1.58
52; 2; 40; 1.94
50; 0; 40; 2
47; 52; 40; 1.54
72; 26; 0; 1.3
70; 23; 1; 1.37
60; 10; 38; 1.7
68; 20; 7; 1.44
62; 12; 24; 1.64
54; 4; 39; 1.88
45; 52; 40; 1.58
56; 7; 40; 1.81
64; 15; 23; 1.57
66; 17; 21; 1.51
58; 8; 39; 1.76
72; 27; 1; 1.29
50; 1; 39; 1.99
52; 3; 40; 1.93
70; 24; 1; 1.36
47; 53; 40; 1.53
68; 21; 9; 1.43
60; 11; 38; 1.69
62; 13; 37; 1.63
54; 5; 38; 1.87
45; 53; 40; 1.57
56; 8; 39; 1.8
66; 18; 16; 1.5
72; 28; 0; 1.28
64; 16; 29; 1.56
58; 9; 39; 1.75
70; 25; 1; 1.35
50; 2; 40; 1.98
52; 4; 40; 1.92
48; 0; 40; 2.04
68; 22; 15; 1.42
60; 12; 38; 1.68
62; 14; 27; 1.62
54; 6; 40; 1.86
45; 54; 40; 1.56
56; 9; 39; 1.79
70; 26; 0; 1.34
64; 17; 23; 1.55
66; 19; 14; 1.49
58; 10; 37; 1.74
50; 3; 40; 1.97
52; 5; 39; 1.91
68; 23; 5; 1.41
48; 1; 40; 2.03
60; 13; 39; 1.67
54; 7; 38; 1.85
62; 15; 34; 1.61
45; 55; 40; 1.55
56; 10; 40; 1.78
70; 27; 1; 1.33
66; 20; 14; 1.48
64; 18; 24; 1.54
58; 11; 37; 1.73
50; 4; 40; 1.96
68; 24; 5; 1.4
48; 2; 40; 2.02
52; 6; 40; 1.9
60; 14; 33; 1.66
62; 16; 32; 1.6
54; 8; 40; 1.84
46; 0; 40; 2.08
56; 11; 38; 1.77
70; 28; 0; 1.32
66; 21; 20; 1.47
64; 19; 23; 1.53
58; 12; 38; 1.72
68; 25; 7; 1.39
50; 5; 40; 1.95
48; 3; 40; 2.01
52; 7; 40; 1.89
60; 15; 35; 1.65
62; 17; 29; 1.59
54; 9; 40; 1.83
46; 1; 40; 2.07
56; 12; 38; 1.76
70; 29; 0; 1.31
66; 22; 19; 1.46
64; 20; 21; 1.52
58; 13; 40; 1.71
68; 26; 5; 1.38
50; 6; 40; 1.94
48; 4; 40; 2
52; 8; 40; 1.88
60; 16; 37; 1.64
54; 10; 39; 1.82
62; 18; 32; 1.58
46; 2; 40; 2.06
70; 30; 2; 1.3
56; 13; 39; 1.75
66; 23; 14; 1.45
64; 21; 24; 1.51
58; 14; 39; 1.7
50; 7; 40; 1.93
68; 27; 9; 1.37
48; 5; 40; 1.99
52; 9; 40; 1.87
