perc1;perc2;succ;cost
12; 62; 40; 2.3446
36; 42; 40; 1.9986
56; 36; 0; 1.6388
41; 35; 40; 1.9455
21; 75; 40; 2.0775
26; 65; 40; 2.0445
68; 11; 0; 1.5663
7; 78; 40; 2.3374
51; 32; 1; 1.7656
62; 7; 0; 1.7131
31; 55; 40; 2.0115
17; 48; 40; 2.3384
68; 12; 0; 1.5596
1; 97; 40; 2.3301
41; 36; 40; 1.9388
12; 63; 40; 2.3379
56; 37; 0; 1.6321
46; 34; 29; 1.8522
36; 43; 40; 1.9919
26; 66; 40; 2.0378
21; 76; 40; 2.0708
68; 13; 0; 1.5529
7; 79; 40; 2.3307
62; 8; 0; 1.7064
17; 49; 40; 2.3317
31; 56; 40; 2.0048
51; 33; 0; 1.7589
1; 98; 40; 2.3234
41; 37; 39; 1.9321
68; 14; 0; 1.5462
12; 64; 40; 2.3312
56; 38; 0; 1.6254
36; 44; 40; 1.9852
26; 67; 40; 2.0311
46; 35; 23; 1.8455
21; 77; 40; 2.0641
62; 9; 0; 1.6997
7; 80; 40; 2.324
17; 50; 40; 2.325
68; 15; 0; 1.5395
31; 57; 40; 1.9981
1; 99; 40; 2.3167
12; 65; 40; 2.3245
51; 34; 0; 1.7522
56; 39; 0; 1.6187
36; 45; 40; 1.9785
68; 16; 0; 1.5328
41; 38; 39; 1.9254
62; 10; 0; 1.693
21; 78; 38; 2.0574
26; 68; 40; 2.0244
46; 36; 16; 1.8388
17; 51; 40; 2.3183
7; 81; 40; 2.3173
68; 17; 0; 1.5261
12; 66; 40; 2.3178
2; 76; 40; 2.4508
62; 11; 0; 1.6863
31; 58; 40; 1.9914
56; 40; 0; 1.612
51; 35; 0; 1.7455
36; 46; 40; 1.9718
41; 39; 38; 1.9187
26; 69; 38; 2.0177
21; 79; 40; 2.0507
68; 18; 0; 1.5194
46; 37; 11; 1.8321
17; 52; 40; 2.3116
7; 82; 40; 2.3106
62; 12; 0; 1.6796
12; 67; 40; 2.3111
31; 59; 40; 1.9847
2; 77; 40; 2.4441
68; 19; 0; 1.5127
56; 41; 0; 1.6053
36; 47; 40; 1.9651
26; 70; 39; 2.011
22; 36; 40; 2.3188
51; 36; 0; 1.7388
41; 40; 35; 1.912
46; 38; 8; 1.8254
62; 13; 0; 1.6729
7; 83; 40; 2.3039
17; 53; 40; 2.3049
69; 0; 0; 1.62
12; 68; 40; 2.3044
2; 78; 40; 2.4374
31; 60; 38; 1.978
56; 42; 0; 1.5986
69; 1; 0; 1.6133
62; 14; 0; 1.6662
36; 48; 40; 1.9584
26; 71; 37; 2.0043
7; 84; 40; 2.2972
22; 37; 40; 2.3121
17; 54; 40; 2.2982
41; 41; 32; 1.9053
46; 39; 5; 1.8187
51; 37; 0; 1.7321
2; 79; 40; 2.4307
69; 2; 0; 1.6066
12; 69; 40; 2.2977
56; 43; 0; 1.5919
62; 15; 0; 1.6595
31; 61; 40; 1.9713
36; 49; 39; 1.9517
22; 38; 40; 2.3054
69; 3; 0; 1.5999
7; 85; 40; 2.2905
26; 72; 32; 1.9976
17; 55; 40; 2.2915
2; 80; 40; 2.424
41; 42; 35; 1.8986
51; 38; 0; 1.7254
62; 16; 0; 1.6528
46; 40; 7; 1.812
56; 44; 0; 1.5852
12; 70; 40; 2.291
69; 4; 0; 1.5932
31; 62; 38; 1.9646
7; 86; 40; 2.2838
17; 56; 40; 2.2848
36; 50; 34; 1.945
26; 73; 35; 1.9909
62; 17; 0; 1.6461
22; 39; 40; 2.2987
69; 5; 0; 1.5865
2; 81; 40; 2.4173
41; 43; 31; 1.8919
57; 0; 2; 1.86
46; 41; 3; 1.8053
51; 39; 0; 1.7187
12; 71; 40; 2.2843
69; 6; 0; 1.5798
31; 63; 35; 1.9579
62; 18; 0; 1.6394
7; 87; 40; 2.2771
36; 51; 39; 1.9383
17; 57; 40; 2.2781
2; 82; 40; 2.4106
26; 74; 30; 1.9842
22; 40; 40; 2.292
69; 7; 0; 1.5731
41; 44; 23; 1.8852
57; 1; 5; 1.8533
51; 40; 0; 1.712
62; 19; 0; 1.6327
46; 42; 1; 1.7986
12; 72; 40; 2.2776
31; 64; 30; 1.9512
17; 58; 40; 2.2714
2; 83; 40; 2.4039
36; 52; 38; 1.9316
69; 8; 0; 1.5664
7; 88; 40; 2.2704
27; 26; 40; 2.2858
22; 41; 40; 2.2853
62; 20; 0; 1.626
57; 2; 5; 1.8466
51; 41; 0; 1.7053
41; 45; 23; 1.8785
12; 73; 40; 2.2709
69; 9; 0; 1.5597
46; 43; 0; 1.7919
2; 84; 40; 2.3972
31; 65; 30; 1.9445
17; 59; 40; 2.2647
27; 27; 40; 2.2791
62; 21; 0; 1.6193
7; 89; 40; 2.2637
36; 53; 31; 1.9249
69; 10; 0; 1.553
57; 3; 4; 1.8399
22; 42; 40; 2.2786
12; 74; 40; 2.2642
41; 46; 18; 1.8718
51; 42; 0; 1.6986
31; 66; 18; 1.9378
2; 85; 40; 2.3905
62; 22; 0; 1.6126
17; 60; 40; 2.258
69; 11; 0; 1.5463
7; 90; 40; 2.257
46; 44; 0; 1.7852
27; 28; 40; 2.2724
36; 54; 29; 1.9182
57; 4; 7; 1.8332
22; 43; 40; 2.2719
12; 75; 40; 2.2575
69; 12; 0; 1.5396
41; 47; 13; 1.8651
62; 23; 0; 1.6059
31; 67; 18; 1.9311
2; 86; 40; 2.3838
51; 43; 0; 1.6919
7; 91; 40; 2.2503
17; 61; 40; 2.2513
27; 29; 40; 2.2657
69; 13; 0; 1.5329
57; 5; 5; 1.8265
46; 45; 0; 1.7785
36; 55; 26; 1.9115
22; 44; 40; 2.2652
12; 76; 40; 2.2508
62; 24; 0; 1.5992
69; 14; 0; 1.5262
7; 92; 40; 2.2436
2; 87; 40; 2.3771
51; 44; 0; 1.6852
31; 68; 10; 1.9244
41; 48; 8; 1.8584
17; 62; 40; 2.2446
69; 15; 0; 1.5195
57; 6; 7; 1.8198
27; 30; 40; 2.259
62; 25; 0; 1.5925
46; 46; 0; 1.7718
36; 56; 24; 1.9048
12; 77; 40; 2.2441
22; 45; 40; 2.2585
7; 93; 40; 2.2369
69; 16; 0; 1.5128
2; 88; 40; 2.3704
31; 69; 12; 1.9177
51; 45; 0; 1.6785
62; 26; 0; 1.5858
57; 7; 6; 1.8131
17; 63; 40; 2.2379
41; 49; 7; 1.8517
27; 31; 40; 2.2523
70; 0; 0; 1.6
46; 47; 0; 1.7651
36; 57; 14; 1.8981
12; 78; 40; 2.2374
22; 46; 40; 2.2518
8; 64; 40; 2.4112
2; 89; 40; 2.3637
62; 27; 0; 1.5791
70; 1; 0; 1.5933
32; 16; 40; 2.2528
57; 8; 7; 1.8064
51; 46; 0; 1.6718
46; 48; 0; 1.7584
17; 64; 40; 2.2312
27; 32; 40; 2.2456
70; 2; 0; 1.5866
41; 50; 5; 1.845
62; 28; 0; 1.5724
22; 47; 40; 2.2451
36; 58; 8; 1.8914
8; 65; 40; 2.4045
12; 79; 40; 2.2307
70; 3; 0; 1.5799
2; 90; 40; 2.357
32; 17; 40; 2.2461
57; 9; 5; 1.7997
27; 33; 40; 2.2389
51; 47; 0; 1.6651
62; 29; 0; 1.5657
17; 65; 40; 2.2245
46; 49; 0; 1.7517
70; 4; 0; 1.5732
36; 59; 12; 1.8847
22; 48; 40; 2.2384
12; 80; 40; 2.224
41; 51; 1; 1.8383
8; 66; 40; 2.3978
70; 5; 0; 1.5665
2; 91; 40; 2.3503
62; 30; 0; 1.559
57; 10; 8; 1.793
32; 18; 40; 2.2394
17; 66; 40; 2.2178
51; 48; 0; 1.6584
27; 34; 40; 2.2322
46; 50; 0; 1.745
8; 67; 40; 2.3911
70; 6; 0; 1.5598
36; 60; 5; 1.878
22; 49; 40; 2.2317
41; 52; 0; 1.8316
12; 81; 40; 2.2173
62; 31; 0; 1.5523
2; 92; 40; 2.3436
57; 11; 6; 1.7863
70; 7; 0; 1.5531
51; 49; 0; 1.6517
32; 19; 40; 2.2327
17; 67; 40; 2.2111
27; 35; 40; 2.2255
46; 51; 0; 1.7383
8; 68; 40; 2.3844
22; 50; 40; 2.225
41; 53; 0; 1.8249
62; 32; 0; 1.5456
36; 61; 1; 1.8713
12; 82; 40; 2.2106
70; 8; 0; 1.5464
2; 93; 40; 2.3369
57; 12; 4; 1.7796
52; 0; 30; 1.96
27; 36; 40; 2.2188
32; 20; 40; 2.226
70; 9; 0; 1.5397
17; 68; 40; 2.2044
62; 33; 0; 1.5389
46; 52; 0; 1.7316
12; 83; 40; 2.2039
8; 69; 40; 2.3777
41; 54; 0; 1.8182
22; 51; 40; 2.2183
36; 62; 0; 1.8646
70; 10; 0; 1.533
2; 94; 40; 2.3302
57; 13; 1; 1.7729
62; 34; 0; 1.5322
70; 11; 0; 1.5263
27; 37; 40; 2.2121
17; 69; 40; 2.1977
52; 1; 32; 1.9533
32; 21; 40; 2.2193
46; 53; 0; 1.7249
41; 55; 0; 1.8115
8; 70; 40; 2.371
12; 84; 40; 2.1972
22; 52; 40; 2.2116
36; 63; 1; 1.8579
70; 12; 0; 1.5196
2; 95; 40; 2.3235
57; 14; 1; 1.7662
62; 35; 0; 1.5255
52; 2; 27; 1.9466
46; 54; 0; 1.7182
70; 13; 0; 1.5129
17; 70; 40; 2.191
27; 38; 40; 2.2054
32; 22; 40; 2.2126
8; 71; 40; 2.3643
12; 85; 40; 2.1905
41; 56; 0; 1.8048
62; 36; 0; 1.5188
36; 64; 0; 1.8512
22; 53; 40; 2.2049
2; 96; 40; 2.3168
57; 15; 3; 1.7595
70; 14; 0; 1.5062
27; 39; 40; 2.1987
63; 0; 0; 1.74
17; 71; 40; 2.1843
8; 72; 40; 2.3576
32; 23; 40; 2.2059
47; 0; 39; 2.06
12; 86; 40; 2.1838
52; 3; 26; 1.9399
41; 57; 0; 1.7981
22; 54; 40; 2.1982
2; 97; 40; 2.3101
37; 6; 39; 2.2198
57; 16; 2; 1.7528
63; 1; 0; 1.7333
8; 73; 40; 2.3509
27; 40; 40; 2.192
12; 87; 40; 2.1771
17; 72; 40; 2.1776
32; 24; 40; 2.1992
47; 1; 39; 2.0533
41; 58; 0; 1.7914
52; 4; 30; 1.9332
22; 55; 40; 2.1915
2; 98; 40; 2.3034
57; 17; 1; 1.7461
63; 2; 0; 1.7266
37; 7; 40; 2.2131
8; 74; 40; 2.3442
27; 41; 40; 2.1853
12; 88; 40; 2.1704
32; 25; 39; 2.1925
63; 3; 0; 1.7199
17; 73; 40; 2.1709
41; 59; 0; 1.7847
57; 18; 0; 1.7394
52; 5; 30; 1.9265
22; 56; 40; 2.1848
47; 2; 37; 2.0466
3; 74; 40; 2.4442
37; 8; 40; 2.2064
8; 75; 40; 2.3375
63; 4; 0; 1.7132
27; 42; 40; 2.1786
13; 54; 40; 2.3782
17; 74; 40; 2.1642
32; 26; 40; 2.1858
42; 0; 40; 2.16
57; 19; 1; 1.7327
22; 57; 40; 2.1781
52; 6; 27; 1.9198
3; 75; 40; 2.4375
47; 3; 39; 2.0399
37; 9; 40; 2.1997
8; 76; 40; 2.3308
63; 5; 0; 1.7065
27; 43; 40; 2.1719
17; 75; 40; 2.1575
13; 55; 40; 2.3715
32; 27; 40; 2.1791
57; 20; 0; 1.726
42; 1; 40; 2.1533
22; 58; 40; 2.1714
63; 6; 0; 1.6998
3; 76; 40; 2.4308
52; 7; 29; 1.9131
37; 10; 40; 2.193
47; 4; 39; 2.0332
8; 77; 40; 2.3241
27; 44; 40; 2.1652
13; 56; 40; 2.3648
57; 21; 0; 1.7193
17; 76; 40; 2.1508
63; 7; 0; 1.6931
32; 28; 40; 2.1724
42; 2; 40; 2.1466
22; 59; 40; 2.1647
3; 77; 40; 2.4241
52; 8; 30; 1.9064
8; 78; 40; 2.3174
37; 11; 40; 2.1863
47; 5; 39; 2.0265
